Protein	Carbohydrates	Fat	ATP
0.32	0.43	0.65	4.52
0.29	0.44	0.87	4.59
0.92	0.64	0.25	7.39
0.57	0.63	0.26	6.07
0.79	0.45	0.85	5.59
0.63	0.22	0.31	3.55
0.06	0.12	0.22	1.62
0.17	0.38	0.91	4.30
0.78	0.42	0.44	5.11
0.14	0.34	0.45	3.26
0.07	0.24	0.99	2.60
0.57	0.72	0.09	7.35
0.21	0.05	0.82	1.71
0.15	0.59	0.13	4.72
0.13	0.48	0.97	4.17
0.99	0.56	0.69	6.97
0.96	0.54	0.49	6.97
0.18	0.93	0.34	7.94
0.02	0.54	0.24	4.97
0.15	0.51	0.69	5.18
0.72	0.88	0.58	8.73
0.83	0.73	0.08	7.46
0.87	0.55	0.93	6.58
0.29	0.79	0.69	6.66
0.54	0.60	0.47	6.17
0.02	0.35	0.50	3.61
0.40	0.41	0.99	4.12
0.42	0.57	0.45	5.17
0.56	0.96	0.18	8.92
0.84	0.44	0.29	5.34
0.04	0.21	0.82	2.03
0.45	0.56	0.39	5.34
0.60	0.64	0.78	6.78
0.71	0.77	0.13	7.40
0.55	0.21	0.27	3.77
0.57	0.66	0.25	6.76
0.19	0.26	0.62	2.81
0.99	0.37	0.72	5.30
0.64	0.75	0.17	7.33
0.12	0.38	0.35	3.48
0.47	0.51	0.46	5.75
0.19	0.82	0.00	7.26
0.28	0.65	0.45	6.39
0.10	0.75	0.81	6.29
0.79	0.45	0.10	5.00
0.29	0.90	0.97	8.00
0.76	0.03	0.98	2.99
0.86	0.88	0.25	9.00
0.33	0.15	0.36	2.81
0.06	0.62	0.62	5.06
0.70	0.10	0.35	2.94
0.51	0.32	0.15	3.47
0.69	0.90	0.08	8.77
0.26	0.27	0.86	3.35
0.13	0.45	0.72	4.12
0.65	0.43	0.47	5.17
0.96	0.20	0.25	4.27
0.08	0.56	0.15	4.39
0.16	0.59	0.99	5.09
0.67	0.70	0.36	6.68
0.07	0.71	0.06	5.59
0.03	0.34	0.05	3.23
0.86	0.21	0.68	3.94
0.87	0.89	0.65	9.32
0.85	0.72	0.48	8.05
0.09	0.12	0.08	1.18
0.03	0.88	0.97	6.81
0.69	0.40	1.00	5.30
0.42	0.37	0.06	4.49
0.93	0.09	0.68	3.23
0.05	0.76	0.31	6.16
0.22	0.85	0.24	6.72
0.28	0.34	0.11	3.43
0.72	0.58	0.18	6.22
0.80	0.06	0.69	3.23
0.34	0.37	0.90	4.49
0.32	0.07	0.49	1.68
0.27	0.13	0.56	2.23
0.95	0.95	0.77	9.23
0.20	0.63	0.80	5.39
0.34	0.09	0.28	1.60
0.43	0.47	0.47	4.98
0.72	0.28	1.00	4.18
0.21	0.82	0.44	7.39
0.41	0.76	0.93	7.37
0.36	0.89	0.91	8.18
0.57	0.60	0.74	6.30
0.12	0.45	0.71	4.19
0.56	0.22	0.14	3.64
0.39	0.53	0.66	5.69
0.12	0.88	0.96	7.19
0.42	0.93	0.64	8.28
0.16	0.21	0.83	2.96
0.72	0.97	0.30	8.98
0.77	0.64	0.60	6.93
0.89	0.66	0.69	7.14
0.38	0.49	0.03	4.91
0.67	0.70	0.91	7.09
0.11	0.47	0.05	4.20
